Month,HS Code,Category,Value EUR,Net Weight kg
2019-03,52,"Cotton yarn & woven cotton",316190,48317
2019-04,52,"Cotton yarn & woven cotton",765546,127871
2019-05,52,"Cotton yarn & woven cotton",733105,145487
2019-06,52,"Cotton yarn & woven cotton",579284,80887
2019-07,52,"Cotton yarn & woven cotton",962342,176071
2019-08,52,"Cotton yarn & woven cotton",550255,76307
2019-09,52,"Cotton yarn & woven cotton",633880,134425
2019-10,52,"Cotton yarn & woven cotton",568979,83948
2019-11,52,"Cotton yarn & woven cotton",864702,112723
2019-12,52,"Cotton yarn & woven cotton",537793,62345.00000000001
2020-01,52,"Cotton yarn & woven cotton",580132,103313.00000000001
2020-02,52,"Cotton yarn & woven cotton",624779,100661
2020-03,52,"Cotton yarn & woven cotton",678094,124330
2020-04,52,"Cotton yarn & woven cotton",370131,73249
2020-05,52,"Cotton yarn & woven cotton",169403,31075
2020-06,52,"Cotton yarn & woven cotton",367287,101792
2020-07,52,"Cotton yarn & woven cotton",818958,349511
2020-08,52,"Cotton yarn & woven cotton",709891,248194
2020-09,52,"Cotton yarn & woven cotton",756342,262915
2020-10,52,"Cotton yarn & woven cotton",582463,242362
2020-11,52,"Cotton yarn & woven cotton",602459,190309
2020-12,52,"Cotton yarn & woven cotton",539227,104583.99999999999
2021-01,52,"Cotton yarn & woven cotton",713069,148715
2021-02,52,"Cotton yarn & woven cotton",899134,165469
2021-03,52,"Cotton yarn & woven cotton",626773,81209
2021-04,52,"Cotton yarn & woven cotton",986799,169620
2021-05,52,"Cotton yarn & woven cotton",752768,345761
2021-06,52,"Cotton yarn & woven cotton",610306,118115.00000000001
2021-07,52,"Cotton yarn & woven cotton",1065275,258002
2021-08,52,"Cotton yarn & woven cotton",541103,89563
2021-09,52,"Cotton yarn & woven cotton",577470,51775
2021-10,52,"Cotton yarn & woven cotton",1003326,171584
2021-11,52,"Cotton yarn & woven cotton",793950,72312
2021-12,52,"Cotton yarn & woven cotton",1490042,286596
2022-01,52,"Cotton yarn & woven cotton",1111851,188811
2022-02,52,"Cotton yarn & woven cotton",825819,122006
2022-03,52,"Cotton yarn & woven cotton",919337,301141
2022-04,52,"Cotton yarn & woven cotton",1325483,326877
2022-05,52,"Cotton yarn & woven cotton",2225443,629249
2022-06,52,"Cotton yarn & woven cotton",886640,116648
2022-07,52,"Cotton yarn & woven cotton",1124323,176423
2022-08,52,"Cotton yarn & woven cotton",764091,72719
2022-09,52,"Cotton yarn & woven cotton",738102,181961
2022-10,52,"Cotton yarn & woven cotton",1121851,203086
2022-11,52,"Cotton yarn & woven cotton",1039618,176877
2022-12,52,"Cotton yarn & woven cotton",1172009,236689
2023-01,52,"Cotton yarn & woven cotton",1174666,138970
2023-02,52,"Cotton yarn & woven cotton",766916,96536
2023-03,52,"Cotton yarn & woven cotton",897599,92315
2023-04,52,"Cotton yarn & woven cotton",1347318,196420
2023-05,52,"Cotton yarn & woven cotton",1374828,245235
2023-06,52,"Cotton yarn & woven cotton",913457,129881
2023-07,52,"Cotton yarn & woven cotton",1352766,269075
2023-08,52,"Cotton yarn & woven cotton",1360487,352041
2023-09,52,"Cotton yarn & woven cotton",1042640,373863
2023-10,52,"Cotton yarn & woven cotton",1498940,334764
2023-11,52,"Cotton yarn & woven cotton",989301,175243
2023-12,52,"Cotton yarn & woven cotton",630967,97793
2024-01,52,"Cotton yarn & woven cotton",1125282,147586
2024-02,52,"Cotton yarn & woven cotton",781894,150774
2024-03,52,"Cotton yarn & woven cotton",900039,179529
2024-04,52,"Cotton yarn & woven cotton",970512,228301.00000000003
2024-05,52,"Cotton yarn & woven cotton",1136023,213526.00000000003
2024-06,52,"Cotton yarn & woven cotton",1093231,251044
2024-07,52,"Cotton yarn & woven cotton",1736243,454635.00000000006
2024-08,52,"Cotton yarn & woven cotton",719548,129627
2024-09,52,"Cotton yarn & woven cotton",1009723,123138.00000000001
2024-10,52,"Cotton yarn & woven cotton",1231043,127442
2024-11,52,"Cotton yarn & woven cotton",1076394,172400
2024-12,52,"Cotton yarn & woven cotton",767523,103260.99999999999
2025-01,52,"Cotton yarn & woven cotton",894921,131767
2025-02,52,"Cotton yarn & woven cotton",881211,172749
2025-03,52,"Cotton yarn & woven cotton",1784869,456864.00000000006
2025-04,52,"Cotton yarn & woven cotton",1092735,195278
2025-05,52,"Cotton yarn & woven cotton",1226468,202381
2025-06,52,"Cotton yarn & woven cotton",1414501,287244
2025-07,52,"Cotton yarn & woven cotton",1541998,377574
2025-08,52,"Cotton yarn & woven cotton",924151,249137
2025-09,52,"Cotton yarn & woven cotton",997366,280343
2025-10,52,"Cotton yarn & woven cotton",1027273,166094
2025-11,52,"Cotton yarn & woven cotton",1201681,379289
2025-12,52,"Cotton yarn & woven cotton",883804,138951
2026-01,52,"Cotton yarn & woven cotton",1022641,112098
2026-02,52,"Cotton yarn & woven cotton",1199374,261160
2026-03,52,"Cotton yarn & woven cotton",990291,140707
2026-04,52,"Cotton yarn & woven cotton",1022388,218588
2026-05,52,"Cotton yarn & woven cotton",1448396,255803.00000000003
2026-06,52,"Cotton yarn & woven cotton",1019780,193875
2011-01,61,"Knitted apparel",29374404,1644916
2011-02,61,"Knitted apparel",33260760,1828578
2011-03,61,"Knitted apparel",35292536,1918308.0000000002
2011-04,61,"Knitted apparel",24012588,1304418
2011-05,61,"Knitted apparel",26587733,1441467
2011-06,61,"Knitted apparel",32475427,1807749.0000000002
2011-07,61,"Knitted apparel",36379229,1995609.9999999998
2011-08,61,"Knitted apparel",31291111,1747938
2011-09,61,"Knitted apparel",21029273,1189028
2011-10,61,"Knitted apparel",14685466,826508
2011-11,61,"Knitted apparel",17519809,975339
2011-12,61,"Knitted apparel",24759650,1261158
2012-01,61,"Knitted apparel",29120733,1434170
2012-02,61,"Knitted apparel",27696281,1324286
2012-03,61,"Knitted apparel",21683569,1079254
2012-04,61,"Knitted apparel",18094207,954810
2012-05,61,"Knitted apparel",17795369,1005956
2012-06,61,"Knitted apparel",24771213,1413770
2012-07,61,"Knitted apparel",28547942,1525008
2012-08,61,"Knitted apparel",21194721,1139964
2012-09,61,"Knitted apparel",13593176,738875
2012-10,61,"Knitted apparel",12890722,724125
2012-11,61,"Knitted apparel",17173086,1061832
2012-12,61,"Knitted apparel",21067914,1215220
2013-01,61,"Knitted apparel",24889337,1259942
2013-02,61,"Knitted apparel",24699391,1258820
2013-03,61,"Knitted apparel",24966437,1274447
2013-04,61,"Knitted apparel",23720229,1280230
2013-05,61,"Knitted apparel",21448140,1237499
2013-06,61,"Knitted apparel",24186918,1432011
2013-07,61,"Knitted apparel",32766522,1930290.0000000002
2013-08,61,"Knitted apparel",23520679,1390882
2013-09,61,"Knitted apparel",16683187,973371.9999999999
2013-10,61,"Knitted apparel",15603353,968629.9999999999
2013-11,61,"Knitted apparel",21494143,1364708
2013-12,61,"Knitted apparel",23178458,1363025
2014-01,61,"Knitted apparel",31241635,1699583.0000000002
2014-02,61,"Knitted apparel",27591892,1472579
2014-03,61,"Knitted apparel",28212048,1529588
2014-04,61,"Knitted apparel",30420958,1847937
2014-05,61,"Knitted apparel",31688509,2002841.9999999998
2014-06,61,"Knitted apparel",39413384,2526580
2014-07,61,"Knitted apparel",42402818,2664241
2014-08,61,"Knitted apparel",33598199,2133734
2014-09,61,"Knitted apparel",26964414,1713834
2014-10,61,"Knitted apparel",23203224,1492633
2014-11,61,"Knitted apparel",27489172,1777766
2014-12,61,"Knitted apparel",33309657,1965614
2015-01,61,"Knitted apparel",39458602,2250144
2015-02,61,"Knitted apparel",34152518,1861849.0000000002
2015-03,61,"Knitted apparel",40888949,2260823
2015-04,61,"Knitted apparel",35623741,1918139
2015-05,61,"Knitted apparel",27346274,1489838
2015-06,61,"Knitted apparel",34657008,1935053
2015-07,61,"Knitted apparel",34922910,1891859.9999999998
2015-08,61,"Knitted apparel",28270015,1583951
2015-09,61,"Knitted apparel",20295407,1140951
2015-10,61,"Knitted apparel",19079376,1088943
2015-11,61,"Knitted apparel",18599668,1068578
2015-12,61,"Knitted apparel",26967839,1490536
2016-01,61,"Knitted apparel",28313979,1497761
2016-02,61,"Knitted apparel",30645578,1604108
2016-03,61,"Knitted apparel",31174602,1606530
2016-04,61,"Knitted apparel",26695692,1455233
2016-05,61,"Knitted apparel",27402948,1534532
2016-06,61,"Knitted apparel",37254921,2150678
2016-07,61,"Knitted apparel",30447569,1738263
2016-08,61,"Knitted apparel",32752870,1967229
2016-09,61,"Knitted apparel",20793310,1210285
2016-10,61,"Knitted apparel",18297842,1092281
2016-11,61,"Knitted apparel",21572026,1251129
2016-12,61,"Knitted apparel",25383301,1425503
2017-01,61,"Knitted apparel",26153482,1364233
2017-02,61,"Knitted apparel",27900569,1444888
2017-03,61,"Knitted apparel",34200510,1757013
2017-04,61,"Knitted apparel",28212026,1456639
2017-05,61,"Knitted apparel",28954173,1495308
2017-06,61,"Knitted apparel",35352870,1966518.9999999998
2017-07,61,"Knitted apparel",32958798,1826525.9999999998
2017-08,61,"Knitted apparel",30074020,1806021
2017-09,61,"Knitted apparel",22076773,1379996
2017-10,61,"Knitted apparel",16408492,1033169
2017-11,61,"Knitted apparel",23212368,1441189
2017-12,61,"Knitted apparel",25258681,1445262
2018-01,61,"Knitted apparel",29293099,1550518
2018-02,61,"Knitted apparel",29909778,1607382
2018-03,61,"Knitted apparel",29080056,1526356
2018-04,61,"Knitted apparel",27324565,1468710
2018-05,61,"Knitted apparel",29269057,1646041
2018-06,61,"Knitted apparel",34917863,1912868
2018-07,61,"Knitted apparel",33456438,1861340.0000000002
2018-08,61,"Knitted apparel",28941839,1649091.9999999998
2018-09,61,"Knitted apparel",20432583,1197839
2018-10,61,"Knitted apparel",19278302,1158578
2018-11,61,"Knitted apparel",24901449,1509691
2018-12,61,"Knitted apparel",26455601,1507399
2019-01,61,"Knitted apparel",33233388,1743489
2019-02,61,"Knitted apparel",29509810,1532119
2019-03,61,"Knitted apparel",29415399,1498923
2019-04,61,"Knitted apparel",30550204,1606230
2019-05,61,"Knitted apparel",27971242,1491645
2019-06,61,"Knitted apparel",35880377,1960663
2019-07,61,"Knitted apparel",37367819,2132444
2019-08,61,"Knitted apparel",26663933,1485684
2019-09,61,"Knitted apparel",20672713,1156315
2019-10,61,"Knitted apparel",17111402,955207
2019-11,61,"Knitted apparel",18642354,1048510
2019-12,61,"Knitted apparel",23880978,1376432
2020-01,61,"Knitted apparel",26235749,1327935
2020-02,61,"Knitted apparel",28233242,1443764
2020-03,61,"Knitted apparel",17682829,878885
2020-04,61,"Knitted apparel",13533384,794363
2020-05,61,"Knitted apparel",13149950,556918
2020-06,61,"Knitted apparel",18334669,898260
2020-07,61,"Knitted apparel",24049930,1365246
2020-08,61,"Knitted apparel",24384501,1345333
2020-09,61,"Knitted apparel",20879302,1147249
2020-10,61,"Knitted apparel",17471720,962812.9999999999
2020-11,61,"Knitted apparel",14053892,834445.0000000001
2020-12,61,"Knitted apparel",16968763,1013284
2021-01,61,"Knitted apparel",21911616,1239176
2021-02,61,"Knitted apparel",28047148,1521475
2021-03,61,"Knitted apparel",28244842,1504619
2021-04,61,"Knitted apparel",20339380,1043939
2021-05,61,"Knitted apparel",19442903,1014689
2021-06,61,"Knitted apparel",25309403,1455178
2021-07,61,"Knitted apparel",25629940,1370665
2021-08,61,"Knitted apparel",23473722,1250586
2021-09,61,"Knitted apparel",24750908,1476341
2021-10,61,"Knitted apparel",21246373,1276300
2021-11,61,"Knitted apparel",18540323,1036541
2021-12,61,"Knitted apparel",26351435,1383739
2022-01,61,"Knitted apparel",33354052,1704909.9999999998
2022-02,61,"Knitted apparel",25653379,1240825
2022-03,61,"Knitted apparel",31519521,1498762
2022-04,61,"Knitted apparel",29188664,1361611
2022-05,61,"Knitted apparel",28008482,1361929
2022-06,61,"Knitted apparel",38344169,1881373
2022-07,61,"Knitted apparel",32510049,1567182
2022-08,61,"Knitted apparel",31999541,1538432
2022-09,61,"Knitted apparel",21628639,938814
2022-10,61,"Knitted apparel",21748696,1016343
2022-11,61,"Knitted apparel",21905886,1021801
2022-12,61,"Knitted apparel",30570663,1430012
2023-01,61,"Knitted apparel",29750831,1356122
2023-02,61,"Knitted apparel",29604104,1315357
2023-03,61,"Knitted apparel",26060990,1178740
2023-04,61,"Knitted apparel",22852674,1034281
2023-05,61,"Knitted apparel",31088175,1597554
2023-06,61,"Knitted apparel",32549153,1652559.9999999998
2023-07,61,"Knitted apparel",30423394,1554423
2023-08,61,"Knitted apparel",29445544,1626296
2023-09,61,"Knitted apparel",20592349,1141307
2023-10,61,"Knitted apparel",21765149,1237816
2023-11,61,"Knitted apparel",25195025,1565609
2023-12,61,"Knitted apparel",23658607,1360965
2024-01,61,"Knitted apparel",21873972,1080758
2024-02,61,"Knitted apparel",28246751,1440207
2024-03,61,"Knitted apparel",29422071,1538937
2024-04,61,"Knitted apparel",25058934,1259202
2024-05,61,"Knitted apparel",30372529,1623812
2024-06,61,"Knitted apparel",29604828,1586838
2024-07,61,"Knitted apparel",33715304,1819634.9999999998
2024-08,61,"Knitted apparel",27150664,1484965
2024-09,61,"Knitted apparel",20788205,1174550
2024-10,61,"Knitted apparel",19763479,1134368
2024-11,61,"Knitted apparel",19896902,1145785
2024-12,61,"Knitted apparel",25034272,1438293
2025-01,61,"Knitted apparel",27310150,1422445
2025-02,61,"Knitted apparel",28414942,1442187
2025-03,61,"Knitted apparel",33135779,1803543
2025-04,61,"Knitted apparel",30484914,1663287
2025-05,61,"Knitted apparel",31979426,1845955
2025-06,61,"Knitted apparel",28080964,1584242
2025-07,61,"Knitted apparel",33150621,1933181.0000000002
2025-08,61,"Knitted apparel",27457714,1523496
2025-09,61,"Knitted apparel",20014694,1149533
2025-10,61,"Knitted apparel",18137733,1098896
2025-11,61,"Knitted apparel",20170099,1207020
2025-12,61,"Knitted apparel",20682622,1225995
2026-01,61,"Knitted apparel",26435629,1406337
2026-02,61,"Knitted apparel",27996239,1552564
2026-03,61,"Knitted apparel",31275887,1782630
2026-04,61,"Knitted apparel",26745953,1391636
2026-05,61,"Knitted apparel",28696769,1688809
2026-06,61,"Knitted apparel",30081799,1766386
2011-01,62,"Woven apparel",37059564,1242263
2011-02,62,"Woven apparel",46806094,1614091
2011-03,62,"Woven apparel",52058916,1782504
2011-04,62,"Woven apparel",44152811,1566230
2011-05,62,"Woven apparel",40675943,1441101
2011-06,62,"Woven apparel",34678643,1226246
2011-07,62,"Woven apparel",31240104,1094132
2011-08,62,"Woven apparel",24542393,843204.0000000001
2011-09,62,"Woven apparel",19113666,758119
2011-10,62,"Woven apparel",12744201,482192
2011-11,62,"Woven apparel",16690304,658293
2011-12,62,"Woven apparel",26685189,931216
2012-01,62,"Woven apparel",43610343,1400009
2012-02,62,"Woven apparel",49134382,1525929
2012-03,62,"Woven apparel",40578650,1344465
2012-04,62,"Woven apparel",31048856,1088346
2012-05,62,"Woven apparel",23233293,853779.0000000001
2012-06,62,"Woven apparel",23759815,869570.9999999999
2012-07,62,"Woven apparel",26813397,969686
2012-08,62,"Woven apparel",22584383,832411
2012-09,62,"Woven apparel",13822291,551037
2012-10,62,"Woven apparel",11369195,434979
2012-11,62,"Woven apparel",14305306,560753
2012-12,62,"Woven apparel",20841463,741657
2013-01,62,"Woven apparel",35157562,1205535
2013-02,62,"Woven apparel",35042041,1277142
2013-03,62,"Woven apparel",37320260,1308397
2013-04,62,"Woven apparel",34185772,1170519
2013-05,62,"Woven apparel",24704981,880103.0000000001
2013-06,62,"Woven apparel",26372158,950331
2013-07,62,"Woven apparel",28151171,985782
2013-08,62,"Woven apparel",18850699,665005
2013-09,62,"Woven apparel",14843455,575186
2013-10,62,"Woven apparel",12644251,512906.00000000006
2013-11,62,"Woven apparel",12041431,469379
2013-12,62,"Woven apparel",19257579,711681
2014-01,62,"Woven apparel",35590483,1292488
2014-02,62,"Woven apparel",35680594,1228785
2014-03,62,"Woven apparel",40985442,1504660
2014-04,62,"Woven apparel",35219074,1326701
2014-05,62,"Woven apparel",29843127,1167324
2014-06,62,"Woven apparel",31430725,1293677
2014-07,62,"Woven apparel",30466515,1147745
2014-08,62,"Woven apparel",20572088,857556
2014-09,62,"Woven apparel",18356302,853778.0000000001
2014-10,62,"Woven apparel",15444242,673073
2014-11,62,"Woven apparel",16982703,678824
2014-12,62,"Woven apparel",24771731,913726
2015-01,62,"Woven apparel",35720915,1222120
2015-02,62,"Woven apparel",40558331,1476182
2015-03,62,"Woven apparel",44587019,1476973
2015-04,62,"Woven apparel",38163955,1326660
2015-05,62,"Woven apparel",23951796,904448
2015-06,62,"Woven apparel",25795317,925603.0000000001
2015-07,62,"Woven apparel",26401730,920868
2015-08,62,"Woven apparel",21289799,767906
2015-09,62,"Woven apparel",16189183,589720
2015-10,62,"Woven apparel",15580189,646909
2015-11,62,"Woven apparel",16229866,625093
2015-12,62,"Woven apparel",25140269,898432
2016-01,62,"Woven apparel",30389929,954492
2016-02,62,"Woven apparel",40741067,1305512
2016-03,62,"Woven apparel",40844730,1379581
2016-04,62,"Woven apparel",31905493,1099898
2016-05,62,"Woven apparel",26022414,956025
2016-06,62,"Woven apparel",40075385,1237477
2016-07,62,"Woven apparel",29351565,1126027
2016-08,62,"Woven apparel",23736986,951251
2016-09,62,"Woven apparel",16661879,726533
2016-10,62,"Woven apparel",12329381,514784
2016-11,62,"Woven apparel",15000037,598065
2016-12,62,"Woven apparel",24298007,899839
2017-01,62,"Woven apparel",31768646,1056426
2017-02,62,"Woven apparel",35094596,1100578
2017-03,62,"Woven apparel",44417082,1470556
2017-04,62,"Woven apparel",34140407,1225563
2017-05,62,"Woven apparel",29554764,1046966
2017-06,62,"Woven apparel",34592981,1268774
2017-07,62,"Woven apparel",27669325,1002653.0000000001
2017-08,62,"Woven apparel",24690782,983123
2017-09,62,"Woven apparel",15375352,658907
2017-10,62,"Woven apparel",12582627,518529
2017-11,62,"Woven apparel",16402554,690767
2017-12,62,"Woven apparel",21583839,797996
2018-01,62,"Woven apparel",33624275,1115896
2018-02,62,"Woven apparel",36135958,1234036
2018-03,62,"Woven apparel",40477406,1359630
2018-04,62,"Woven apparel",34301975,1221545
2018-05,62,"Woven apparel",27594916,1087821
2018-06,62,"Woven apparel",29871876,1097131
2018-07,62,"Woven apparel",29668648,998187.0000000001
2018-08,62,"Woven apparel",21688024,801406
2018-09,62,"Woven apparel",14457212,501606.00000000006
2018-10,62,"Woven apparel",11858489,426118.99999999994
2018-11,62,"Woven apparel",14881492,588543
2018-12,62,"Woven apparel",20264124,705627
2019-01,62,"Woven apparel",32997501,1037257
2019-02,62,"Woven apparel",38609917,1164330
2019-03,62,"Woven apparel",35405354,1194138
2019-04,62,"Woven apparel",37664687,1367806
2019-05,62,"Woven apparel",28579419,1061403
2019-06,62,"Woven apparel",30836778,1254904
2019-07,62,"Woven apparel",33553313,1102067
2019-08,62,"Woven apparel",22496804,848727
2019-09,62,"Woven apparel",14792310,603440
2019-10,62,"Woven apparel",13033846,476343
2019-11,62,"Woven apparel",14593570,570258
2019-12,62,"Woven apparel",19350796,678551
2020-01,62,"Woven apparel",30077347,959399
2020-02,62,"Woven apparel",36845943,1201280
2020-03,62,"Woven apparel",26577933,888120.9999999999
2020-04,62,"Woven apparel",16271811,687794
2020-05,62,"Woven apparel",12932543,442272.99999999994
2020-06,62,"Woven apparel",17567955,548064
2020-07,62,"Woven apparel",23148775,823815
2020-08,62,"Woven apparel",20643894,770206
2020-09,62,"Woven apparel",20312439,662539
2020-10,62,"Woven apparel",14112768,543667
2020-11,62,"Woven apparel",9983037,411343.99999999994
2020-12,62,"Woven apparel",14972997,640562
2021-01,62,"Woven apparel",23619740,826992
2021-02,62,"Woven apparel",30554394,1045183
2021-03,62,"Woven apparel",37813509,1378868
2021-04,62,"Woven apparel",26215502,1110083
2021-05,62,"Woven apparel",23911853,942432
2021-06,62,"Woven apparel",25449811,985062.0000000001
2021-07,62,"Woven apparel",24121095,817132
2021-08,62,"Woven apparel",20913557,766171
2021-09,62,"Woven apparel",16160673,681002
2021-10,62,"Woven apparel",13606935,586870
2021-11,62,"Woven apparel",16552647,679669
2021-12,62,"Woven apparel",19550371,696652
2022-01,62,"Woven apparel",31838726,1008714
2022-02,62,"Woven apparel",39598630,1166593
2022-03,62,"Woven apparel",46310766,1425024
2022-04,62,"Woven apparel",42482284,1460370
2022-05,62,"Woven apparel",43646821,1562053
2022-06,62,"Woven apparel",36154206,1144814
2022-07,62,"Woven apparel",30068655,913229.0000000001
2022-08,62,"Woven apparel",28236122,892737.0000000001
2022-09,62,"Woven apparel",23789224,917248
2022-10,62,"Woven apparel",20836270,748165
2022-11,62,"Woven apparel",20715558,693178
2022-12,62,"Woven apparel",28812821,933266
2023-01,62,"Woven apparel",40609601,1207139
2023-02,62,"Woven apparel",43693218,1240240
2023-03,62,"Woven apparel",43966828,1336931
2023-04,62,"Woven apparel",41909904,1397083
2023-05,62,"Woven apparel",36593505,1325927
2023-06,62,"Woven apparel",35487995,1151363
2023-07,62,"Woven apparel",34083743,1071945
2023-08,62,"Woven apparel",30727680,1124868
2023-09,62,"Woven apparel",19780274,733150
2023-10,62,"Woven apparel",20519527,793198
2023-11,62,"Woven apparel",21714826,800306
2023-12,62,"Woven apparel",21717892,763611
2024-01,62,"Woven apparel",31326442,894349
2024-02,62,"Woven apparel",47751329,1343602
2024-03,62,"Woven apparel",46183779,1481564
2024-04,62,"Woven apparel",43520123,1479456
2024-05,62,"Woven apparel",40406425,1546078
2024-06,62,"Woven apparel",30856303,1001287.0000000001
2024-07,62,"Woven apparel",36144800,1190040
2024-08,62,"Woven apparel",25674040,839398
2024-09,62,"Woven apparel",19450418,728580
2024-10,62,"Woven apparel",20721614,812716
2024-11,62,"Woven apparel",21250471,751737
2024-12,62,"Woven apparel",21419545,705223
2025-01,62,"Woven apparel",37131430,1079694
2025-02,62,"Woven apparel",45377599,1330579
2025-03,62,"Woven apparel",53241305,1806104
2025-04,62,"Woven apparel",50359719,1746481.0000000002
2025-05,62,"Woven apparel",37105983,1329680
2025-06,62,"Woven apparel",33465944,1086688
