Grain,HS2,Category,OriginYearMonth,TargetYearMonth,Horizon,Method,ActualEUR,ForecastEUR,APE,ResidualPct,RedSeaRegime
category,52,Cotton yarn & woven cotton,2013-02,2013-05,3,last-month naive,574079,895787,0.5603897721393746,-0.3591344817462187,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2013-03,2013-04,1,seasonal-naive + trend,912419,775518.8222835695,0.15004091071802594,0.17652721479192257,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2013-03,2013-04,1,seasonal-naive,912419,823263,0.0977138792594192,0.1082958908635515,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2013-03,2013-04,1,last-month naive,912419,959068,0.051126730153580754,-0.048639929598318365,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2013-03,2013-05,2,seasonal-naive + trend,574079,473136.72699278,0.17583341840969624,0.21334694021493786,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2013-03,2013-05,2,seasonal-naive,574079,502265,0.12509428144906887,0.14298029924442276,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2013-03,2013-05,2,last-month naive,574079,959068,0.6706202456456342,-0.4014199201725008,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2013-03,2013-06,3,seasonal-naive + trend,884376,636301.6150148787,0.28050782131708835,0.3898691738811956,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2013-03,2013-06,3,seasonal-naive,884376,675475,0.23621287778049155,0.30926533180354565,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2013-03,2013-06,3,last-month naive,884376,959068,0.0844572896596018,-0.07787977494817885,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2013-04,2013-05,1,seasonal-naive + trend,574079,468770.00337856566,0.1834399039530001,0.224649606123346,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2013-04,2013-05,1,seasonal-naive,574079,502265,0.12509428144906887,0.14298029924442276,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2013-04,2013-05,1,last-month naive,574079,912419,0.5893613945119052,-0.37081647795585143,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2013-04,2013-06,2,seasonal-naive + trend,884376,630428.992727219,0.2871482347698049,0.40281619373850974,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2013-04,2013-06,2,seasonal-naive,884376,675475,0.23621287778049155,0.30926533180354565,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2013-04,2013-06,2,last-month naive,884376,912419,0.03170936343817562,-0.03073478303279524,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2013-04,2013-07,3,seasonal-naive + trend,846688,1050156.245033077,0.24031076976770305,-0.19375044998819987,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2013-04,2013-07,3,seasonal-naive,846688,1125193,0.3289346252692846,-0.2475175369914317,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2013-04,2013-07,3,last-month naive,846688,912419,0.07763308326089421,-0.07204036741891609,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2013-05,2013-06,1,seasonal-naive + trend,884376,669559.7737737293,0.24290146524359624,0.32083203716904524,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2013-05,2013-06,1,seasonal-naive,884376,675475,0.23621287778049155,0.30926533180354565,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2013-05,2013-06,1,last-month naive,884376,574079,0.35086546898604215,0.5405127168908809,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2013-05,2013-07,2,seasonal-naive + trend,846688,1115339.5322281118,0.31729696444039807,-0.24086973021697444,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2013-05,2013-07,2,seasonal-naive,846688,1125193,0.3289346252692846,-0.2475175369914317,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2013-05,2013-07,2,last-month naive,846688,574079,0.3219710212026154,0.47486321568982665,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2013-05,2013-08,3,seasonal-naive + trend,748514,637999.5922167778,0.14764507782516045,0.17322018561051344,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2013-05,2013-08,3,seasonal-naive,748514,643636,0.1401149477498083,0.16294613725770465,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2013-05,2013-08,3,last-month naive,748514,574079,0.23304173335435277,0.30385190888362057,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2013-06,2013-07,1,seasonal-naive + trend,846688,1173920.9275586726,0.38648584550468723,-0.2787521032095388,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2013-06,2013-07,1,seasonal-naive,846688,1125193,0.3289346252692846,-0.2475175369914317,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2013-06,2013-07,1,last-month naive,846688,884376,0.04451226425790846,-0.04261535817344659,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2013-06,2013-08,2,seasonal-naive + trend,748514,671509.483377655,0.10287652151108057,0.11467375893936235,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2013-06,2013-08,2,seasonal-naive,748514,643636,0.1401149477498083,0.16294613725770465,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2013-06,2013-08,2,last-month naive,748514,884376,0.18150896309220668,-0.15362470261517724,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2013-06,2013-09,3,seasonal-naive + trend,978399,770289.7223422194,0.212703894482497,0.27017013419961367,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2013-06,2013-09,3,seasonal-naive,978399,738316,0.24538352962339496,0.32517648269846516,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2013-06,2013-09,3,last-month naive,978399,884376,0.09609883084508468,0.10631563950175038,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2013-07,2013-08,1,seasonal-naive + trend,748514,654384.9695620519,0.12575453557040758,0.14384350927397377,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2013-07,2013-08,1,seasonal-naive,748514,643636,0.1401149477498083,0.16294613725770465,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2013-07,2013-08,1,last-month naive,748514,846688,0.1311585354448948,-0.11595062171661816,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2013-07,2013-09,2,seasonal-naive + trend,978399,750646.1620965513,0.23278114338163544,0.3034090486352932,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2013-07,2013-09,2,seasonal-naive,978399,738316,0.24538352962339496,0.32517648269846516,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2013-07,2013-09,2,last-month naive,978399,846688,0.13461890292201853,0.1555602535999093,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2013-07,2013-10,3,seasonal-naive + trend,619708,974995.3360449331,0.5733141028434893,-0.3643990108569704,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2013-07,2013-10,3,seasonal-naive,619708,958980,0.5474707442860186,-0.35378422907672735,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2013-07,2013-10,3,last-month naive,619708,846688,0.366269275207033,-0.26807985940511736,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2013-08,2013-09,1,seasonal-naive + trend,978399,756701.7925539884,0.22659181729132144,0.29297830351075077,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2013-08,2013-09,1,seasonal-naive,978399,738316,0.24538352962339496,0.32517648269846516,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2013-08,2013-09,1,last-month naive,978399,748514,0.23496037915001958,0.30712184408040466,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2013-08,2013-10,2,seasonal-naive + trend,619708,982860.8414600574,0.5860063795530434,-0.36948551223242077,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2013-08,2013-10,2,seasonal-naive,619708,958980,0.5474707442860186,-0.35378422907672735,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2013-08,2013-10,2,last-month naive,619708,748514,0.20784950331446422,-0.17208228570207104,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2013-08,2013-11,3,seasonal-naive + trend,880895,697420.4165806717,0.20828201252059364,0.26307601420513554,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2013-08,2013-11,3,seasonal-naive,880895,680475,0.2275186032387515,0.29452955655975604,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2013-08,2013-11,3,last-month naive,880895,748514,0.15028011283978226,0.17685841547385886,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2013-09,2013-10,1,seasonal-naive + trend,619708,1007442.5663667454,0.6256730046517802,-0.38487014477170306,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2013-09,2013-10,1,seasonal-naive,619708,958980,0.5474707442860186,-0.35378422907672735,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2013-09,2013-10,1,last-month naive,619708,978399,0.5788064701440033,-0.36661014575853,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2013-09,2013-11,2,seasonal-naive + trend,880895,714863.167478374,0.18848084337137347,0.2322568011264181,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2013-09,2013-11,2,seasonal-naive,880895,680475,0.2275186032387515,0.29452955655975604,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2013-09,2013-11,2,last-month naive,880895,978399,0.11068742585665715,-0.09965668403177028,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2013-09,2013-12,3,seasonal-naive + trend,614506,1130217.6036863092,0.8392295660031134,-0.4562940817805953,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2013-09,2013-12,3,seasonal-naive,614506,1075849,0.7507542644009986,-0.428817612880618,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2013-09,2013-12,3,last-month naive,614506,978399,0.5921715979990432,-0.3719269950194144,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2013-10,2013-11,1,seasonal-naive + trend,880895,707751.3717148234,0.1965542184768634,0.24463905716729845,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2013-10,2013-11,1,seasonal-naive,880895,680475,0.2275186032387515,0.29452955655975604,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2013-10,2013-11,1,last-month naive,880895,619708,0.2965018532288184,0.42146785260154784,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2013-10,2013-12,2,seasonal-naive + trend,614506,1118973.6662008467,0.8209320433011991,-0.450830686582305,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2013-10,2013-12,2,seasonal-naive,614506,1075849,0.7507542644009986,-0.428817612880618,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2013-10,2013-12,2,last-month naive,614506,619708,0.008465336384022288,-0.008394276013864594,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2013-10,2014-01,3,seasonal-naive + trend,1046319,767339.882076388,0.266629123549904,0.3635665556294386,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2013-10,2014-01,3,seasonal-naive,1046319,737767,0.2948928577231227,0.41822418188940413,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2013-10,2014-01,3,last-month naive,1046319,619708,0.40772555979581754,0.6884064753077256,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2013-11,2013-12,1,seasonal-naive + trend,614506,1184298.7410867244,0.9272370669883198,-0.4811224746923879,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2013-11,2013-12,1,seasonal-naive,614506,1075849,0.7507542644009986,-0.428817612880618,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2013-11,2013-12,1,last-month naive,614506,880895,0.43350105613289375,-0.30240721084805794,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2013-11,2014-01,2,seasonal-naive + trend,1046319,812136.7676275476,0.22381533009765892,0.28835319580045193,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2013-11,2014-01,2,seasonal-naive,1046319,737767,0.2948928577231227,0.41822418188940413,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2013-11,2014-01,2,last-month naive,1046319,880895,0.1581009233321769,0.1877908263754477,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2013-11,2014-02,3,seasonal-naive + trend,1143666,986085.7949227575,0.13778516199418575,0.15980374718772425,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2013-11,2014-02,3,seasonal-naive,1143666,895787,0.21674072675064224,0.27671645156716945,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2013-11,2014-02,3,last-month naive,1143666,880895,0.22976201093675952,0.29830002440699516,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2013-12,2014-01,1,seasonal-naive + trend,1046319,748973.0897649915,0.28418284503579544,0.3970047980339426,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2013-12,2014-01,1,seasonal-naive,1046319,737767,0.2948928577231227,0.41822418188940413,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2013-12,2014-01,1,last-month naive,1046319,614506,0.4126972749228486,0.7026994040741669,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2013-12,2014-02,2,seasonal-naive + trend,1143666,909393.2869880497,0.20484364579514497,0.25761429775655337,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2013-12,2014-02,2,seasonal-naive,1143666,895787,0.21674072675064224,0.27671645156716945,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2013-12,2014-02,2,last-month naive,1143666,614506,0.46268753289859105,0.8611144561647893,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2013-12,2014-03,3,seasonal-naive + trend,689333,973635.4746887987,0.4124312555597928,-0.2920009408856736,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2013-12,2014-03,3,seasonal-naive,689333,959068,0.3912985451153506,-0.2812470022980644,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2013-12,2014-03,3,last-month naive,689333,614506,0.108549859066663,0.12176772887490114,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2014-01,2014-02,1,seasonal-naive + trend,1143666,958983.354730052,0.16148302500026063,0.1925817005676132,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2014-01,2014-02,1,seasonal-naive,1143666,895787,0.21674072675064224,0.27671645156716945,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2014-01,2014-02,1,last-month naive,1143666,1046319,0.08511838246481053,0.09303759178606143,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2014-01,2014-03,2,seasonal-naive + trend,689333,1026728.7290999327,0.48945245490921324,-0.3286123389141998,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2014-01,2014-03,2,seasonal-naive,689333,959068,0.3912985451153506,-0.2812470022980644,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2014-01,2014-03,2,last-month naive,689333,1046319,0.5178716237290251,-0.3411827559281634,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2014-01,2014-04,3,seasonal-naive + trend,986656,976788.7159999411,0.010000733791776356,0.01010175879228675,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2014-01,2014-04,3,seasonal-naive,986656,912419,0.07524101611909317,0.0813628387834975,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2014-01,2014-04,3,last-month naive,986656,1046319,0.060469910485518766,-0.057021806925039116,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2014-02,2014-03,1,seasonal-naive + trend,689333,1041790.8267231045,0.5113027038065847,-0.3383191881538649,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2014-02,2014-03,1,seasonal-naive,689333,959068,0.3912985451153506,-0.2812470022980644,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2014-02,2014-03,1,last-month naive,689333,1143666,0.6590907442411723,-0.3972602140834824,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2014-02,2014-04,2,seasonal-naive + trend,986656,991118.1942551188,0.004522543069842823,-0.004502181758929802,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2014-02,2014-04,2,seasonal-naive,986656,912419,0.07524101611909317,0.0813628387834975,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2014-02,2014-04,2,last-month naive,986656,1143666,0.15913347711867154,-0.13728658541916958,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2014-02,2014-05,3,seasonal-naive + trend,800825,623595.2362234723,0.2213089798352046,0.2842064106355929,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2014-02,2014-05,3,seasonal-naive,800825,574079,0.2831405113476727,0.3949735140982339,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2014-02,2014-05,3,last-month naive,800825,1143666,0.42810976180813537,-0.2997737101566366,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2014-03,2014-04,1,seasonal-naive + trend,986656,967678.740562702,0.01923391682338936,0.019611115385528507,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2014-03,2014-04,1,seasonal-naive,986656,912419,0.07524101611909317,0.0813628387834975,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2014-03,2014-04,1,last-month naive,986656,689333,0.3013441361528233,0.43131984106375293,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2014-03,2014-05,2,seasonal-naive + trend,800825,608847.5181944867,0.23972463622578374,0.31531290851741484,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2014-03,2014-05,2,seasonal-naive,800825,574079,0.2831405113476727,0.3949735140982339,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2014-03,2014-05,2,last-month naive,800825,689333,0.13922142790247558,0.16173895635346053,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2014-03,2014-06,3,seasonal-naive + trend,904624,937937.3444260587,0.03682562526094676,-0.035517665038109505,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2014-03,2014-06,3,seasonal-naive,904624,884376,0.02238278002794531,0.022895239129058227,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2014-03,2014-06,3,last-month naive,904624,689333,0.2379894851341552,0.3123178492832927,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2014-04,2014-05,1,seasonal-naive + trend,800825,607559.0432273978,0.24133357072094672,0.31810234565180584,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2014-04,2014-05,1,seasonal-naive,800825,574079,0.2831405113476727,0.3949735140982339,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2014-04,2014-05,1,last-month naive,800825,986656,0.23204944900571287,-0.1883442658839555,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2014-04,2014-06,2,seasonal-naive + trend,904624,935952.4323538628,0.03463144063595792,-0.0334722484507826,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2014-04,2014-06,2,seasonal-naive,904624,884376,0.02238278002794531,0.022895239129058227,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2014-04,2014-06,2,last-month naive,904624,986656,0.09068076902668955,-0.08314143936691208,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2014-04,2014-07,3,seasonal-naive + trend,831954,896066.4842157945,0.07706253496683048,-0.07154880284569894,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2014-04,2014-07,3,seasonal-naive,831954,846688,0.0177101137803292,-0.017401923731055594,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2014-04,2014-07,3,last-month naive,831954,986656,0.18595018474579122,-0.1567942626406772,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2014-05,2014-06,1,seasonal-naive + trend,904624,954523.8283021591,0.05516084948239168,-0.05227719499775867,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2014-05,2014-06,1,seasonal-naive,904624,884376,0.02238278002794531,0.022895239129058227,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2014-05,2014-06,1,last-month naive,904624,800825,0.11474269972939033,0.12961508444416694,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2014-05,2014-07,2,seasonal-naive + trend,831954,913846.4534739732,0.09843387191355916,-0.08961292475629828,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2014-05,2014-07,2,seasonal-naive,831954,846688,0.0177101137803292,-0.017401923731055594,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2014-05,2014-07,2,last-month naive,831954,800825,0.037416732175096216,0.03887116411200949,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2014-05,2014-08,3,seasonal-naive + trend,571379,807885.3890401394,0.41392208856142665,-0.29274745186459694,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2014-05,2014-08,3,seasonal-naive,571379,748514,0.31001314364021076,-0.23664888031486386,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2014-05,2014-08,3,last-month naive,571379,800825,0.40156533579288,-0.28651203446445855,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2014-06,2014-07,1,seasonal-naive + trend,831954,893640.9433884418,0.07414706028030614,-0.06902877922596273,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2014-06,2014-07,1,seasonal-naive,831954,846688,0.0177101137803292,-0.017401923731055594,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2014-06,2014-07,1,last-month naive,831954,904624,0.08734857936857086,-0.080331717929217,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2014-06,2014-08,2,seasonal-naive + trend,571379,790022.7204111267,0.3826597064490062,-0.276756243538597,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2014-06,2014-08,2,seasonal-naive,571379,748514,0.31001314364021076,-0.23664888031486386,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2014-06,2014-08,2,last-month naive,571379,904624,0.5832293451456914,-0.36837956985443676,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2014-06,2014-09,3,seasonal-naive + trend,788754,1032655.95516921,0.3092243654792368,-0.2361889784766161,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2014-06,2014-09,3,seasonal-naive,788754,978399,0.24043618162316768,-0.1938319642599798,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2014-06,2014-09,3,last-month naive,788754,904624,0.14690258306138543,-0.12808636516386918,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2014-07,2014-08,1,seasonal-naive + trend,571379,804376.4502564583,0.40778091294299973,-0.28966219757200995,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2014-07,2014-08,1,seasonal-naive,571379,748514,0.31001314364021076,-0.23664888031486386,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2014-07,2014-08,1,last-month naive,571379,831954,0.45604581197418875,-0.3132084225810562,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2014-07,2014-09,2,seasonal-naive + trend,788754,1051418.0289940715,0.33301134319961806,-0.24981883680021297,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2014-07,2014-09,2,seasonal-naive,788754,978399,0.24043618162316768,-0.1938319642599798,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2014-07,2014-09,2,last-month naive,788754,831954,0.05476992826660784,-0.051925947828846304,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2014-07,2014-10,3,seasonal-naive + trend,670950,665957.5121314087,0.0074409238670412525,0.007496706287782209,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2014-07,2014-10,3,seasonal-naive,670950,619708,0.0763723079216037,0.08268733016194724,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2014-07,2014-10,3,last-month naive,670950,831954,0.23996422982338475,-0.1935251227832308,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2014-08,2014-09,1,seasonal-naive + trend,788754,1018837.7485275728,0.2917053333835047,-0.2258296268076939,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2014-08,2014-09,1,seasonal-naive,788754,978399,0.24043618162316768,-0.1938319642599798,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2014-08,2014-09,1,last-month naive,788754,571379,0.27559289715171015,0.3804392531052069,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2014-08,2014-10,2,seasonal-naive + trend,670950,645321.4930355868,0.0381973425209229,0.03971432416400225,pre-Nov 2023
category,52,Cotton yarn & woven cotton,2014-08,2014-10,2,seasonal-naive,670950,619708,0.0763723079216037,0.08268733016194724,pre-Nov 2023
