Date,YearMonth,HS2,Category,ValueEUR,Qty100kg,WeightKg,WeightTonnes,UnitValueEurPerKg,ValueMissing,QtyMissing
2011-04-01,2011-04,63,Made-ups / home textiles,10952912,21628.41,2162841,2162.841,5.064131852503259,false,false
2011-04-01,2011-04,64,Footwear,12701216,7570.81,757081,757.0810000000001,16.77656155682153,false,false
2011-05-01,2011-05,52,Cotton yarn & woven cotton,1121600,1886.89,188689,188.68900000000002,5.94417268627212,false,false
2011-05-01,2011-05,61,Knitted apparel,26587733,14414.67,1441467,1441.467,18.44491271739138,false,false
2011-05-01,2011-05,62,Woven apparel,40675943,14411.01,1441101,1441.101,28.225601814168474,false,false
2011-05-01,2011-05,63,Made-ups / home textiles,10598148,22813.63,2281363,2281.3630000000003,4.64553339385271,false,false
2011-05-01,2011-05,64,Footwear,7987515,4928.53,492853,492.853,16.206688404047455,false,false
2011-06-01,2011-06,52,Cotton yarn & woven cotton,986809,1726.57,172657,172.657,5.715430014421657,false,false
2011-06-01,2011-06,61,Knitted apparel,32475427,18077.49,1807749.0000000002,1807.7490000000003,17.964566430405988,false,false
2011-06-01,2011-06,62,Woven apparel,34678643,12262.46,1226246,1226.2459999999999,28.28033118966341,false,false
2011-06-01,2011-06,63,Made-ups / home textiles,9178928,19475.87,1947587,1947.587,4.7129745680167305,false,false
2011-06-01,2011-06,64,Footwear,10178215,6519.79,651979,651.979,15.611262019175465,false,false
2011-07-01,2011-07,52,Cotton yarn & woven cotton,1049862,2226.74,222673.99999999997,222.67399999999998,4.7147938241554925,false,false
2011-07-01,2011-07,61,Knitted apparel,36379229,19956.1,1995609.9999999998,1995.61,18.229628534633523,false,false
2011-07-01,2011-07,62,Woven apparel,31240104,10941.32,1094132,1094.132,28.55240866732716,false,false
2011-07-01,2011-07,63,Made-ups / home textiles,9124251,19901.89,1990189,1990.189,4.5846153305037864,false,false
2011-07-01,2011-07,64,Footwear,11875898,7820.34,782034,782.0340000000001,15.185910075521013,false,false
2011-08-01,2011-08,52,Cotton yarn & woven cotton,604624,1180.06,118006,118.006,5.123671677711303,false,false
2011-08-01,2011-08,61,Knitted apparel,31291111,17479.38,1747938,1747.938,17.901728207751077,false,false
2011-08-01,2011-08,62,Woven apparel,24542393,8432.04,843204.0000000001,843.2040000000002,29.10611548332313,false,false
2011-08-01,2011-08,63,Made-ups / home textiles,9748192,21597.38,2159738,2159.7380000000003,4.513599334734121,false,false
2011-08-01,2011-08,64,Footwear,15571275,9917.82,991782,991.782,15.70030006594191,false,false
2011-09-01,2011-09,52,Cotton yarn & woven cotton,725562,1390.04,139004,139.004,5.219720295818825,false,false
2011-09-01,2011-09,61,Knitted apparel,21029273,11890.28,1189028,1189.028,17.68610411193008,false,false
2011-09-01,2011-09,62,Woven apparel,19113666,7581.19,758119,758.119,25.211960127631677,false,false
2011-09-01,2011-09,63,Made-ups / home textiles,10247892,22177.99,2217799,2217.7990000000004,4.620748769388029,false,false
2011-09-01,2011-09,64,Footwear,10939224,7382.61,738261,738.261,14.817556392657881,false,false
2011-10-01,2011-10,52,Cotton yarn & woven cotton,1242797,2892.72,289272,289.272,4.296292071130286,false,false
2011-10-01,2011-10,61,Knitted apparel,14685466,8265.08,826508,826.508,17.768086939267377,false,false
2011-10-01,2011-10,62,Woven apparel,12744201,4821.92,482192,482.192,26.42972301489863,false,false
2011-10-01,2011-10,63,Made-ups / home textiles,10106786,20393.31,2039331.0000000002,2039.3310000000001,4.95593211695404,false,false
2011-10-01,2011-10,64,Footwear,7715273,5419.13,541913,541.913,14.237106325185039,false,false
2011-11-01,2011-11,52,Cotton yarn & woven cotton,1202476,4358.29,435829,435.829,2.759054583334289,false,false
2011-11-01,2011-11,61,Knitted apparel,17519809,9753.39,975339,975.3389999999999,17.962789348113834,false,false
2011-11-01,2011-11,62,Woven apparel,16690304,6582.93,658293,658.2930000000001,25.353913834721013,false,false
2011-11-01,2011-11,63,Made-ups / home textiles,7619099,13394.57,1339457,1339.457,5.688199770504018,false,false
2011-11-01,2011-11,64,Footwear,6463032,4192.79,419279,419.279,15.414633215591527,false,false
2011-12-01,2011-12,52,Cotton yarn & woven cotton,673012,1182.48,118248,118.248,5.691529666463704,false,false
2011-12-01,2011-12,61,Knitted apparel,24759650,12611.58,1261158,1261.1580000000001,19.632472695728847,false,false
2011-12-01,2011-12,62,Woven apparel,26685189,9312.16,931216,931.216,28.65628275287366,false,false
2011-12-01,2011-12,63,Made-ups / home textiles,7208466,14344.55,1434455,1434.455,5.025229791105333,false,false
2011-12-01,2011-12,64,Footwear,10673439,6302.1,630210,630.21,16.936321226257913,false,false
2012-01-01,2012-01,52,Cotton yarn & woven cotton,978583,2328.97,232896.99999999997,232.897,4.2017844798344335,false,false
2012-01-01,2012-01,61,Knitted apparel,29120733,14341.7,1434170,1434.17,20.30493804779071,false,false
2012-01-01,2012-01,62,Woven apparel,43610343,14000.09,1400009,1400.009,31.150044749712322,false,false
2012-01-01,2012-01,63,Made-ups / home textiles,8615722,16339.57,1633957,1633.957,5.2729184427741975,false,false
2012-01-01,2012-01,64,Footwear,12859386,7348.34,734834,734.8340000000001,17.499715582022606,false,false
2012-02-01,2012-02,52,Cotton yarn & woven cotton,823139,2073.35,207335,207.335,3.9700918802903513,false,false
2012-02-01,2012-02,61,Knitted apparel,27696281,13242.86,1324286,1324.286,20.91412353524843,false,false
2012-02-01,2012-02,62,Woven apparel,49134382,15259.29,1525929,1525.929,32.199651490993354,false,false
2012-02-01,2012-02,63,Made-ups / home textiles,8176638,16297.72,1629772,1629.772,5.017044101874372,false,false
2012-02-01,2012-02,64,Footwear,14363153,8552.35,855235,855.2350000000001,16.794393353873495,false,false
2012-03-01,2012-03,52,Cotton yarn & woven cotton,933831,2039.52,203952,203.952,4.578680277712403,false,false
2012-03-01,2012-03,61,Knitted apparel,21683569,10792.54,1079254,1079.2540000000001,20.09125655313763,false,false
2012-03-01,2012-03,62,Woven apparel,40578650,13444.65,1344465,1344.4650000000001,30.18200548173437,false,false
2012-03-01,2012-03,63,Made-ups / home textiles,8758098,16777.1,1677709.9999999998,1677.71,5.220269295647044,false,false
2012-03-01,2012-03,64,Footwear,12472898,6961.32,696132,696.1320000000001,17.917432326053106,false,false
2012-04-01,2012-04,52,Cotton yarn & woven cotton,823263,1664.45,166445,166.44500000000002,4.946156387996035,false,false
2012-04-01,2012-04,61,Knitted apparel,18094207,9548.1,954810,954.8100000000001,18.95058388579927,false,false
2012-04-01,2012-04,62,Woven apparel,31048856,10883.46,1088346,1088.346,28.528478994731454,false,false
2012-04-01,2012-04,63,Made-ups / home textiles,8547462,18077.28,1807728,1807.728,4.728289875467991,false,false
2012-04-01,2012-04,64,Footwear,8590693,4813.44,481343.99999999994,481.344,17.847304630368303,false,false
2012-05-01,2012-05,52,Cotton yarn & woven cotton,502265,605.22,60522,60.522000000000006,8.298883050791448,false,false
2012-05-01,2012-05,61,Knitted apparel,17795369,10059.56,1005956,1005.956,17.690007316423383,false,false
2012-05-01,2012-05,62,Woven apparel,23233293,8537.79,853779.0000000001,853.7790000000001,27.212303183844995,false,false
2012-05-01,2012-05,63,Made-ups / home textiles,7201025,14423.54,1442354,1442.3540000000003,4.99255037251604,false,false
2012-05-01,2012-05,64,Footwear,6685130,4018.97,401897,401.897,16.633938546443492,false,false
2012-06-01,2012-06,52,Cotton yarn & woven cotton,675475,2142.58,214258,214.258,3.1526244060898545,false,false
2012-06-01,2012-06,61,Knitted apparel,24771213,14137.7,1413770,1413.7700000000002,17.521388203173075,false,false
2012-06-01,2012-06,62,Woven apparel,23759815,8695.71,869570.9999999999,869.5709999999999,27.32360554802311,false,false
2012-06-01,2012-06,63,Made-ups / home textiles,7895900,16965.61,1696561,1696.5610000000001,4.654061952384854,false,false
2012-06-01,2012-06,64,Footwear,9275191,5740.64,574064,574.0640000000001,16.15706785306168,false,false
2012-07-01,2012-07,52,Cotton yarn & woven cotton,1125193,4787.55,478755,478.75500000000005,2.350248039184969,false,false
2012-07-01,2012-07,61,Knitted apparel,28547942,15250.08,1525008,1525.008,18.719863764649105,false,false
2012-07-01,2012-07,62,Woven apparel,26813397,9696.86,969686,969.6860000000001,27.651628465297012,false,false
2012-07-01,2012-07,63,Made-ups / home textiles,9398190,19853.31,1985331.0000000002,1985.3310000000001,4.733815167344891,false,false
2012-07-01,2012-07,64,Footwear,11183996,6716.23,671623,671.623,16.652193269140575,false,false
2012-08-01,2012-08,52,Cotton yarn & woven cotton,643636,1156.38,115638.00000000001,115.63800000000002,5.565955827669105,false,false
2012-08-01,2012-08,61,Knitted apparel,21194721,11399.64,1139964,1139.964,18.592447656241777,false,false
2012-08-01,2012-08,62,Woven apparel,22584383,8324.11,832411,832.4110000000001,27.131288510123003,false,false
2012-08-01,2012-08,63,Made-ups / home textiles,9294752,20746.23,2074623,2074.623,4.480212549460793,false,false
2012-08-01,2012-08,64,Footwear,14478150,8465.58,846558,846.558,17.102372194226504,false,false
2012-09-01,2012-09,52,Cotton yarn & woven cotton,738316,1244.59,124458.99999999999,124.459,5.932202572734797,false,false
2012-09-01,2012-09,61,Knitted apparel,13593176,7388.75,738875,738.875,18.39712535949924,false,false
2012-09-01,2012-09,62,Woven apparel,13822291,5510.37,551037,551.037,25.08414317005936,false,false
2012-09-01,2012-09,63,Made-ups / home textiles,7175278,15118.49,1511849,1511.8490000000002,4.7460282078435085,false,false
2012-09-01,2012-09,64,Footwear,10300281,5618.69,561869,561.869,18.332175293529275,false,false
2012-10-01,2012-10,52,Cotton yarn & woven cotton,958980,1917.68,191768,191.76800000000003,5.000730048808977,false,false
2012-10-01,2012-10,61,Knitted apparel,12890722,7241.25,724125,724.125,17.80179112722251,false,false
2012-10-01,2012-10,62,Woven apparel,11369195,4349.79,434979,434.97900000000004,26.137342262500027,false,false
2012-10-01,2012-10,63,Made-ups / home textiles,9158011,18796.46,1879646,1879.646,4.872199871677965,false,false
2012-10-01,2012-10,64,Footwear,7638648,4667.95,466795,466.795,16.36403131995844,false,false
2012-11-01,2012-11,52,Cotton yarn & woven cotton,680475,1709.39,170939,170.93900000000002,3.980806018521227,false,false
2012-11-01,2012-11,61,Knitted apparel,17173086,10618.32,1061832,1061.832,16.17307257645277,false,false
2012-11-01,2012-11,62,Woven apparel,14305306,5607.53,560753,560.753,25.510886254732476,false,false
2012-11-01,2012-11,63,Made-ups / home textiles,7142444,14208.92,1420892,1420.892,5.026732503244441,false,false
2012-11-01,2012-11,64,Footwear,5937200,3554.62,355462,355.462,16.702769916334237,false,false
2012-12-01,2012-12,52,Cotton yarn & woven cotton,1075849,3625.3,362530,362.53000000000003,2.967613714727057,false,false
2012-12-01,2012-12,61,Knitted apparel,21067914,12152.2,1215220,1215.22,17.3367077566202,false,false
2012-12-01,2012-12,62,Woven apparel,20841463,7416.57,741657,741.657,28.101215251794294,false,false
2012-12-01,2012-12,63,Made-ups / home textiles,5624648,10928.57,1092857,1092.857,5.146737404802275,false,false
2012-12-01,2012-12,64,Footwear,9056474,5614.53,561453,561.453,16.130422314957798,false,false
2013-01-01,2013-01,52,Cotton yarn & woven cotton,737767,1678.35,167835,167.835,4.395787529418774,false,false
2013-01-01,2013-01,61,Knitted apparel,24889337,12599.42,1259942,1259.942,19.754351390778307,false,false
2013-01-01,2013-01,62,Woven apparel,35157562,12055.35,1205535,1205.535,29.163451911392038,false,false
2013-01-01,2013-01,63,Made-ups / home textiles,7503487,14906.3,1490630,1490.63,5.033768943332685,false,false
2013-01-01,2013-01,64,Footwear,12895770,7342.53,734253,734.253,17.56311516602588,false,false
2013-02-01,2013-02,52,Cotton yarn & woven cotton,895787,2566.32,256632.00000000003,256.632,3.490550671779045,false,false
2013-02-01,2013-02,61,Knitted apparel,24699391,12588.2,1258820,1258.8200000000002,19.621066554392208,false,false
2013-02-01,2013-02,62,Woven apparel,35042041,12771.42,1277142,1277.142,27.43785812384214,false,false
2013-02-01,2013-02,63,Made-ups / home textiles,7554011,16026.4,1602640,1602.64,4.713479633604552,false,false
2013-02-01,2013-02,64,Footwear,15824772,8700.68,870068,870.0680000000001,18.187971514870103,false,false
2013-03-01,2013-03,52,Cotton yarn & woven cotton,959068,3120.8,312080,312.08000000000004,3.0731479107921045,false,false
2013-03-01,2013-03,61,Knitted apparel,24966437,12744.47,1274447,1274.4470000000001,19.59001590493759,false,false
2013-03-01,2013-03,62,Woven apparel,37320260,13083.97,1308397,1308.397,28.523651460527653,false,false
2013-03-01,2013-03,63,Made-ups / home textiles,7855322,15419.77,1541977,1541.977,5.094318527448853,false,false
2013-03-01,2013-03,64,Footwear,16015944,8898.12,889812.0000000001,889.8120000000001,17.999244784291513,false,false
2013-04-01,2013-04,52,Cotton yarn & woven cotton,912419,2205.85,220585,220.585,4.136360133281955,false,false
2013-04-01,2013-04,61,Knitted apparel,23720229,12802.3,1280230,1280.23,18.528099638346234,false,false
2013-04-01,2013-04,62,Woven apparel,34185772,11705.19,1170519,1170.519,29.205653218785855,false,false
2013-04-01,2013-04,63,Made-ups / home textiles,8204176,19365.13,1936513,1936.5130000000001,4.236571610931607,false,false
2013-04-01,2013-04,64,Footwear,12794877,7539.16,753916,753.916,16.971223584590327,false,false
2013-05-01,2013-05,52,Cotton yarn & woven cotton,574079,749.55,74955,74.955,7.658982055900207,false,false
2013-05-01,2013-05,61,Knitted apparel,21448140,12374.99,1237499,1237.499,17.331844308561056,false,false
2013-05-01,2013-05,62,Woven apparel,24704981,8801.03,880103.0000000001,880.1030000000001,28.07055651440797,false,false
2013-05-01,2013-05,63,Made-ups / home textiles,7042367,16507.48,1650748,1650.748,4.266167216316482,false,false
2013-05-01,2013-05,64,Footwear,7781477,4607.47,460747,460.74700000000007,16.888828359164574,false,false
2013-06-01,2013-06,52,Cotton yarn & woven cotton,884376,2663.85,266385,266.385,3.31991666197421,false,false
2013-06-01,2013-06,61,Knitted apparel,24186918,14320.11,1432011,1432.0110000000002,16.890176122948777,false,false
2013-06-01,2013-06,62,Woven apparel,26372158,9503.31,950331,950.331,27.750497458254017,false,false
2013-06-01,2013-06,63,Made-ups / home textiles,7289097,16289.92,1628992,1628.9920000000002,4.474605768475229,false,false
2013-06-01,2013-06,64,Footwear,8618084,4961.18,496118,496.11800000000005,17.37103672916524,false,false
2013-07-01,2013-07,52,Cotton yarn & woven cotton,846688,1974.61,197461,197.461,4.287874567636141,false,false
2013-07-01,2013-07,61,Knitted apparel,32766522,19302.9,1930290.0000000002,1930.2900000000002,16.9749219029265,false,false
2013-07-01,2013-07,62,Woven apparel,28151171,9857.82,985782,985.782,28.55719723021926,false,false
2013-07-01,2013-07,63,Made-ups / home textiles,8996185,19139.21,1913921,1913.921,4.700395157375879,false,false
2013-07-01,2013-07,64,Footwear,12926311,7244.56,724456,724.4560000000001,17.84278272248418,false,false
2013-08-01,2013-08,52,Cotton yarn & woven cotton,748514,1712.75,171275,171.275,4.370246679316888,false,false
2013-08-01,2013-08,61,Knitted apparel,23520679,13908.82,1390882,1390.882,16.91062146177749,false,false
2013-08-01,2013-08,62,Woven apparel,18850699,6650.05,665005,665.0050000000001,28.346702656371004,false,false
2013-08-01,2013-08,63,Made-ups / home textiles,9035142,20879.68,2087968,2087.9680000000003,4.327241605235329,false,false
2013-08-01,2013-08,64,Footwear,15993018,9071.36,907136,907.1360000000001,17.63023185057147,false,false
2013-09-01,2013-09,52,Cotton yarn & woven cotton,978399,2468.7,246869.99999999997,246.87,3.9632154575282543,false,false
2013-09-01,2013-09,61,Knitted apparel,16683187,9733.72,973371.9999999999,973.372,17.139579729024465,false,false
2013-09-01,2013-09,62,Woven apparel,14843455,5751.86,575186,575.186,25.80635655248911,false,false
2013-09-01,2013-09,63,Made-ups / home textiles,9090061,20326.74,2032674.0000000002,2032.6740000000002,4.471971895148951,false,false
2013-09-01,2013-09,64,Footwear,12332173,7133.1,713310,713.3100000000001,17.288658507521273,false,false
2013-10-01,2013-10,52,Cotton yarn & woven cotton,619708,2509.32,250932.00000000003,250.93200000000002,2.469625237116031,false,false
2013-10-01,2013-10,61,Knitted apparel,15603353,9686.3,968629.9999999999,968.63,16.10868236581564,false,false
2013-10-01,2013-10,62,Woven apparel,12644251,5129.06,512906.00000000006,512.9060000000001,24.6521799316054,false,false
2013-10-01,2013-10,63,Made-ups / home textiles,9170404,21296.08,2129608,2129.608,4.306146483296456,false,false
2013-10-01,2013-10,64,Footwear,7642360,4603.12,460312,460.312,16.602565216635675,false,false
2013-11-01,2013-11,52,Cotton yarn & woven cotton,880895,3786.86,378686,378.68600000000004,2.3261884516459546,false,false
2013-11-01,2013-11,61,Knitted apparel,21494143,13647.08,1364708,1364.708,15.749994137940131,false,false
2013-11-01,2013-11,62,Woven apparel,12041431,4693.79,469379,469.379,25.653961936942213,false,false
2013-11-01,2013-11,63,Made-ups / home textiles,8683635,19966.36,1996636,1996.6360000000002,4.349132741270817,false,false
2013-11-01,2013-11,64,Footwear,6156260,3714.39,371439,371.439,16.57408080465433,false,false
2013-12-01,2013-12,52,Cotton yarn & woven cotton,614506,2047.63,204763,204.76300000000003,3.001059761773367,false,false
2013-12-01,2013-12,61,Knitted apparel,23178458,13630.25,1363025,1363.025,17.005159846664586,false,false
2013-12-01,2013-12,62,Woven apparel,19257579,7116.81,711681,711.681,27.059284988639572,false,false
2013-12-01,2013-12,63,Made-ups / home textiles,5851401,13671.72,1367172,1367.172,4.279930396468037,false,false
2013-12-01,2013-12,64,Footwear,10342073,6033.25,603325,603.325,17.141794223677124,false,false
2014-01-01,2014-01,52,Cotton yarn & woven cotton,1046319,4451.79,445179,445.17900000000003,2.3503332367429732,false,false
2014-01-01,2014-01,61,Knitted apparel,31241635,16995.83,1699583.0000000002,1699.5830000000003,18.381941335021587,false,false
2014-01-01,2014-01,62,Woven apparel,35590483,12924.88,1292488,1292.488,27.53641271717803,false,false
2014-01-01,2014-01,63,Made-ups / home textiles,8676866,21430.08,2143008,2143.0080000000003,4.048919089429438,false,false
2014-01-01,2014-01,64,Footwear,15592914,9311.4,931140,931.14,16.74604678136478,false,false
2014-02-01,2014-02,52,Cotton yarn & woven cotton,1143666,4303.62,430362,430.362,2.657451169015852,false,false
2014-02-01,2014-02,61,Knitted apparel,27591892,14725.79,1472579,1472.5790000000002,18.737121743553317,false,false
2014-02-01,2014-02,62,Woven apparel,35680594,12287.85,1228785,1228.785,29.03729619095285,false,false
2014-02-01,2014-02,63,Made-ups / home textiles,6793429,14937.6,1493760,1493.7600000000002,4.547871813410454,false,false
2014-02-01,2014-02,64,Footwear,14393013,7604.69,760469,760.469,18.926495360100148,false,false
2014-03-01,2014-03,52,Cotton yarn & woven cotton,689333,1189.75,118975,118.97500000000001,5.793931498213911,false,false
2014-03-01,2014-03,61,Knitted apparel,28212048,15295.88,1529588,1529.588,18.444213735986423,false,false
2014-03-01,2014-03,62,Woven apparel,40985442,15046.6,1504660,1504.66,27.23900548961227,false,false
2014-03-01,2014-03,63,Made-ups / home textiles,9114735,22422.77,2242277,2242.277,4.0649460347673365,false,false
2014-03-01,2014-03,64,Footwear,18207010,10305.53,1030553.0000000001,1030.553,17.667223325729,false,false
2014-04-01,2014-04,52,Cotton yarn & woven cotton,986656,3307.3,330730,330.73,2.9832673177516402,false,false
2014-04-01,2014-04,61,Knitted apparel,30420958,18479.37,1847937,1847.937,16.4621185678949,false,false
2014-04-01,2014-04,62,Woven apparel,35219074,13267.01,1326701,1326.701,26.546353699891686,false,false
2014-04-01,2014-04,63,Made-ups / home textiles,8776732,19629.51,1962950.9999999998,1962.951,4.4711926074568344,false,false
2014-04-01,2014-04,64,Footwear,12184999,6402.42,640242,640.2420000000001,19.031864513730746,false,false
2014-05-01,2014-05,52,Cotton yarn & woven cotton,800825,2669.39,266939,266.939,3.0000299693937564,false,false
2014-05-01,2014-05,61,Knitted apparel,31688509,20028.42,2002841.9999999998,2002.8419999999999,15.821771762325737,false,false
2014-05-01,2014-05,62,Woven apparel,29843127,11673.24,1167324,1167.324,25.565418855433453,false,false
2014-05-01,2014-05,63,Made-ups / home textiles,7949583,19445.25,1944525,1944.525,4.0881876036564195,false,false
2014-05-01,2014-05,64,Footwear,10677217,6642.1,664210,664.21,16.075062103852698,false,false
2014-06-01,2014-06,52,Cotton yarn & woven cotton,904624,2784.62,278462,278.462,3.2486443392635262,false,false
2014-06-01,2014-06,61,Knitted apparel,39413384,25265.8,2526580,2526.58,15.599499718987722,false,false
2014-06-01,2014-06,62,Woven apparel,31430725,12936.77,1293677,1293.6770000000001,24.295651078283065,false,false
2014-06-01,2014-06,63,Made-ups / home textiles,8381446,19705.41,1970541,1970.5410000000002,4.253373058464655,false,false
2014-06-01,2014-06,64,Footwear,11691014,6563.3,656330,656.33,17.812707022382032,false,false
2014-07-01,2014-07,52,Cotton yarn & woven cotton,831954,2081.34,208134,208.13400000000001,3.997203724523624,false,false
2014-07-01,2014-07,61,Knitted apparel,42402818,26642.41,2664241,2664.241,15.915533917539742,false,false
2014-07-01,2014-07,62,Woven apparel,30466515,11477.45,1147745,1147.7450000000001,26.544672379317706,false,false
2014-07-01,2014-07,63,Made-ups / home textiles,8393019,19247.96,1924796,1924.796,4.3604719668993495,false,false
2014-07-01,2014-07,64,Footwear,16449559,9840.12,984012.0000000001,984.0120000000002,16.716827640313326,false,false
2014-08-01,2014-08,52,Cotton yarn & woven cotton,571379,1743.39,174339,174.33900000000003,3.2774020729727713,false,false
2014-08-01,2014-08,61,Knitted apparel,33598199,21337.34,2133734,2133.734,15.746198448353919,false,false
2014-08-01,2014-08,62,Woven apparel,20572088,8575.56,857556,857.556,23.989206535783087,false,false
2014-08-01,2014-08,63,Made-ups / home textiles,8918205,19845.41,1984541,1984.5410000000002,4.493837617867305,false,false
2014-08-01,2014-08,64,Footwear,15689133,8750.48,875048,875.048,17.929454155657748,false,false
2014-09-01,2014-09,52,Cotton yarn & woven cotton,788754,1703.16,170316,170.31600000000003,4.631120975128584,false,false
2014-09-01,2014-09,61,Knitted apparel,26964414,17138.34,1713834,1713.834,15.733387247539726,false,false
2014-09-01,2014-09,62,Woven apparel,18356302,8537.78,853778.0000000001,853.7780000000001,21.500087844849595,false,false
2014-09-01,2014-09,63,Made-ups / home textiles,9349523,20979.26,2097926,2097.926,4.456555188314555,false,false
2014-09-01,2014-09,64,Footwear,13856747,7515.76,751576,751.576,18.43692055094894,false,false
2014-10-01,2014-10,52,Cotton yarn & woven cotton,670950,2104.95,210494.99999999997,210.495,3.187486638637498,false,false
2014-10-01,2014-10,61,Knitted apparel,23203224,14926.33,1492633,1492.633,15.545163479569325,false,false
2014-10-01,2014-10,62,Woven apparel,15444242,6730.73,673073,673.073,22.94586471304004,false,false
2014-10-01,2014-10,63,Made-ups / home textiles,10171917,21671.87,2167187,2167.187,4.69360373608738,false,false
2014-10-01,2014-10,64,Footwear,9233899,5574.36,557436,557.436,16.56494916008295,false,false
2014-11-01,2014-11,52,Cotton yarn & woven cotton,602210,1711.29,171129,171.12900000000002,3.5190411911481982,false,false
2014-11-01,2014-11,61,Knitted apparel,27489172,17777.66,1777766,1777.766,15.462761690796201,false,false
2014-11-01,2014-11,62,Woven apparel,16982703,6788.24,678824,678.8240000000001,25.017829363723145,false,false
2014-11-01,2014-11,63,Made-ups / home textiles,7472398,15153.73,1515373,1515.373,4.9310618573776885,false,false
2014-11-01,2014-11,64,Footwear,6723272,3880.33,388033,388.033,17.32654696894336,false,false
2014-12-01,2014-12,52,Cotton yarn & woven cotton,794514,1430.65,143065,143.06500000000003,5.553517631845665,false,false
2014-12-01,2014-12,61,Knitted apparel,33309657,19656.14,1965614,1965.614,16.946184245736955,false,false
2014-12-01,2014-12,62,Woven apparel,24771731,9137.26,913726,913.7260000000001,27.110677599192755,false,false
2014-12-01,2014-12,63,Made-ups / home textiles,6880903,16523.07,1652307,1652.307,4.1644216238265646,false,false
2014-12-01,2014-12,64,Footwear,11988697,7247.75,724775,724.7750000000001,16.541267289848573,false,false
2015-01-01,2015-01,52,Cotton yarn & woven cotton,1204862,2286.63,228663,228.663,5.269160292657754,false,false
2015-01-01,2015-01,61,Knitted apparel,39458602,22501.44,2250144,2250.144,17.536034138259595,false,false
2015-01-01,2015-01,62,Woven apparel,35720915,12221.2,1222120,1222.1200000000001,29.228647759630807,false,false
2015-01-01,2015-01,63,Made-ups / home textiles,8600100,17753.75,1775375,1775.375,4.844103358445399,false,false
2015-01-01,2015-01,64,Footwear,17310718,9671.17,967117,967.1170000000001,17.89930070508532,false,false
2015-02-01,2015-02,52,Cotton yarn & woven cotton,821042,1487.23,148723,148.723,5.520612144725429,false,false
2015-02-01,2015-02,61,Knitted apparel,34152518,18618.49,1861849.0000000002,1861.8490000000002,18.343333965321566,false,false
2015-02-01,2015-02,62,Woven apparel,40558331,14761.82,1476182,1476.182,27.475156179929034,false,false
2015-02-01,2015-02,63,Made-ups / home textiles,8033855,17587.79,1758779,1758.7790000000002,4.567859293293814,false,false
2015-02-01,2015-02,64,Footwear,16359868,9141.94,914194,914.1940000000001,17.895400757388476,false,false
2015-03-01,2015-03,52,Cotton yarn & woven cotton,902239,1674.66,167466,167.466,5.387595093929514,false,false
2015-03-01,2015-03,61,Knitted apparel,40888949,22608.23,2260823,2260.823,18.08586917242084,false,false
2015-03-01,2015-03,62,Woven apparel,44587019,14769.73,1476973,1476.973,30.188107027007263,false,false
2015-03-01,2015-03,63,Made-ups / home textiles,9782610,19381.79,1938179,1938.179,5.047320190756375,false,false
2015-03-01,2015-03,64,Footwear,17714210,9307.34,930734,930.734,19.03251627210352,false,false
2015-04-01,2015-04,52,Cotton yarn & woven cotton,1005665,1958.39,195839,195.83900000000003,5.135162046374829,false,false
